,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk
179,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,53519,55.748958333333334,480,0.0_13.0
180,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,53519,55.748958333333334,480,0.0_13.0
181,0.0,,,,,,59.0,,,,,1,note_off,,80.0,59.0,80.0,53520,55.75,480,0.0_13.0
182,0.0,,,,,,54.0,,,,,0,note_off,,80.0,54.0,80.0,53520,55.75,480,0.0_13.0
183,0.0,,,,,,47.0,,,,,0,note_off,,80.0,47.0,80.0,53520,55.75,480,0.0_13.0
184,0.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,53520,55.75,480,0.0_13.0
185,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,53520,55.75,480,0.0_13.0
186,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,53520,55.75,480,0.0_13.0
187,0.0,,,,,,64.0,,,,,720,note_off,,80.0,64.0,80.0,54240,56.5,480,0.0_14.0
188,0.0,,,,,,59.0,,,,,0,note_off,,80.0,59.0,80.0,54240,56.5,480,0.0_14.0
189,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,54240,56.5,480,0.0_14.0
190,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,240,0.25,480,1.0_0.0
191,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,240,0.25,480,1.0_0.0
192,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,240,0.25,480,1.0_0.0
193,1.0,,,,,,,,640.0,,,120,pitchwheel,,,,,360,0.375,480,1.0_0.0
194,1.0,,,,,,,,640.0,,,0,pitchwheel,,,,,360,0.375,480,1.0_0.0
195,1.0,,,,,,,,640.0,,,0,pitchwheel,,,,,360,0.375,480,1.0_0.0
196,1.0,,,,,,,,1408.0,,,60,pitchwheel,,,,,420,0.4375,480,1.0_0.0
197,1.0,,,,,,,,1408.0,,,0,pitchwheel,,,,,420,0.4375,480,1.0_0.0
198,1.0,,,,,,,,1408.0,,,0,pitchwheel,,,,,420,0.4375,480,1.0_0.0
199,1.0,,,,,,64.0,,,,,60,note_off,,80.0,64.0,80.0,480,0.5,480,1.0_0.0
200,1.0,,,,,,,,0.0,,,0,pitchwheel,,,,,480,0.5,480,1.0_0.0
201,1.0,,,,,,59.0,,,,,0,note_off,,80.0,59.0,80.0,480,0.5,480,1.0_0.0
202,1.0,,,,,,,,0.0,,,0,pitchwheel,,,,,480,0.5,480,1.0_0.0
203,1.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,480,0.5,480,1.0_0.0
204,1.0,,,,,,,,0.0,,,0,pitchwheel,,,,,480,0.5,480,1.0_0.0
205,0.0,,,,,,67.0,,,,,0,note_on,,86.0,67.0,86.0,54240,56.5,480,0.0_14.0
206,0.0,,,,,,62.0,,,,,0,note_on,,86.0,62.0,86.0,54240,56.5,480,0.0_14.0
207,0.0,,,,,,55.0,,,,,0,note_on,,86.0,55.0,86.0,54240,56.5,480,0.0_14.0
208,0.0,,,,,,67.0,,,,,240,note_off,,80.0,67.0,80.0,54480,56.75,480,0.0_14.0
209,0.0,,,,,,62.0,,,,,0,note_off,,80.0,62.0,80.0,54480,56.75,480,0.0_14.0
210,0.0,,,,,,55.0,,,,,0,note_off,,80.0,55.0,80.0,54480,56.75,480,0.0_14.0
211,0.0,,,,,,64.0,,,,,120,note_on,,95.0,64.0,95.0,54600,56.875,480,0.0_14.0
212,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,54600,56.875,480,0.0_14.0
213,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,54600,56.875,480,0.0_14.0
214,0.0,,,,,,64.0,,,,,240,note_off,,80.0,64.0,80.0,54840,57.125,480,0.0_14.0
215,0.0,,,,,,59.0,,,,,0,note_off,,80.0,59.0,80.0,54840,57.125,480,0.0_14.0
216,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,54840,57.125,480,0.0_14.0
217,0.0,,,,,,62.0,,,,,120,note_on,,95.0,62.0,95.0,54960,57.25,480,0.0_14.0
218,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,54960,57.25,480,0.0_14.0
219,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,54960,57.25,480,0.0_14.0
220,0.0,,,,,,62.0,,,,,240,note_off,,80.0,62.0,80.0,55200,57.5,480,0.0_14.0
221,0.0,,,,,,57.0,,,,,0,note_off,,80.0,57.0,80.0,55200,57.5,480,0.0_14.0
222,0.0,,,,,,50.0,,,,,0,note_off,,80.0,50.0,80.0,55200,57.5,480,0.0_14.0
223,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,55200,57.5,480,0.0_14.0
224,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,55200,57.5,480,0.0_14.0
225,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,55200,57.5,480,0.0_14.0
226,0.0,,,,,,60.0,,,,,360,note_off,,80.0,60.0,80.0,55560,57.875,480,0.0_14.0
227,0.0,,,,,,55.0,,,,,0,note_off,,80.0,55.0,80.0,55560,57.875,480,0.0_14.0
228,0.0,,,,,,48.0,,,,,0,note_off,,80.0,48.0,80.0,55560,57.875,480,0.0_14.0
229,0.0,,,,,,62.0,,,,,0,note_on,,95.0,62.0,95.0,55560,57.875,480,0.0_14.0
230,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,55560,57.875,480,0.0_14.0
231,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,55560,57.875,480,0.0_14.0
232,0.0,,,,,,62.0,,,,,360,note_off,,80.0,62.0,80.0,55920,58.25,480,0.0_14.0
233,0.0,,,,,,57.0,,,,,0,note_off,,80.0,57.0,80.0,55920,58.25,480,0.0_14.0
234,0.0,,,,,,50.0,,,,,0,note_off,,80.0,50.0,80.0,55920,58.25,480,0.0_14.0
235,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,55920,58.25,480,0.0_14.0
236,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,55920,58.25,480,0.0_14.0
237,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,55920,58.25,480,0.0_14.0
238,0.0,,,,,,60.0,,,,,240,note_off,,80.0,60.0,80.0,56160,58.5,480,0.0_14.0
239,0.0,,,,,,55.0,,,,,0,note_off,,80.0,55.0,80.0,56160,58.5,480,0.0_14.0
240,0.0,,,,,,48.0,,,,,0,note_off,,80.0,48.0,80.0,56160,58.5,480,0.0_14.0
241,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,56160,58.5,480,0.0_14.0
242,0.0,,,,,,54.0,,,,,0,note_on,,95.0,54.0,95.0,56160,58.5,480,0.0_14.0
243,0.0,,,,,,47.0,,,,,0,note_on,,95.0,47.0,95.0,56160,58.5,480,0.0_14.0
244,0.0,,,,,,57.0,,,,,930,note_on,,95.0,57.0,95.0,57090,59.46875,480,0.0_14.0
245,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,57090,59.46875,480,0.0_14.0
246,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,57090,59.46875,480,0.0_14.0
